"Показник","Базисний період","Територіальний розріз","Тип товарів і послуг","Періодичність","Період","Значення cпостереження"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2017-M01","8.83"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2017-M02","9.23"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2017-M03","9.42"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2017-M04","9.54"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2017-M05","9.62"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2017-M06","9.62"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2017-M07","9.64"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2017-M08","9.65"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2017-M09","10.25"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2017-M10","10.5"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2017-M11","10.54"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2017-M12","11.11"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2018-M01","10.38"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2018-M02","10.53"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2018-M03","10.51"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2018-M04","10.68"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2018-M05","10.77"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2018-M06","10.77"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2018-M07","10.99"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2018-M08","11.28"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2018-M09","11.43"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2018-M10","11.84"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2018-M11","12.44"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2018-M12","12.91"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2019-M01","13.06"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2019-M02","13.1"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2019-M03","13.11"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2019-M04","13.14"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2019-M05","13.39"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2019-M06","13.81"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2019-M07","13.92"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2019-M08","14"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2019-M09","14.02"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2019-M10","14.05"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2019-M11","14.05"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2019-M12","14.07"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2020-M01","14.98"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2020-M02","14.98"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2020-M03","14.98"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2020-M04","14.66"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2020-M05","14.66"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2020-M06","15.18"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2020-M07","15.18"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2020-M08","14.75"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2020-M09","14.75"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2020-M10","15.29"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2020-M11","15.97"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2020-M12","16.34"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2021-M01","16.34"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2021-M02","16.55"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2021-M03","17.1"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2021-M04","17.38"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2021-M05","17.38"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2021-M06","17.38"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2021-M07","17.38"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2021-M08","18.04"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2021-M09","18.15"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2021-M10","18.53"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2021-M11","19.26"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2021-M12","19.62"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2022-M01","20.11"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2022-M02","20.69"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2022-M03","20.82"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2022-M04","22.58"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2022-M05","23.17"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2022-M06","23.64"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2022-M07","24.85"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2022-M08","24.85"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2022-M09","24.85"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2022-M10","24.85"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2022-M11","24.85"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2022-M12","22.51"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2023-M01","22.87"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2023-M02","23.48"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2023-M03","23.48"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2023-M04","23.48"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2023-M05","22.74"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2023-M06","22.74"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2023-M07","22.74"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2023-M08","23.16"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2023-M09","23.44"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2023-M10","21.81"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2023-M11","22.82"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2023-M12","22.97"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2024-M01","24.33"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2024-M02","24.33"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2024-M03","24.33"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2024-M04","24.33"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2024-M05","24.53"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2024-M06","24.98"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2024-M07","25.61"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2024-M08","26.02"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2024-M09","26.21"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2024-M10","26.91"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2024-M11","27.29"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2024-M12","28.21"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2025-M01","25.6"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2025-M02","26.06"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2025-M03","26.06"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2025-M04","26.06"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2025-M05","26.06"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2025-M06","26.21"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2025-M07","26.55"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2025-M08","27.04"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2025-M09","27.21"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Батон","Місячна","2025-M10","27.69"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2017-M01","13.58"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2017-M02","14.29"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2017-M03","14.45"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2017-M04","14.63"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2017-M05","14.6"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2017-M06","14.72"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2017-M07","14.74"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2017-M08","15"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2017-M09","15.99"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2017-M10","16.15"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2017-M11","16.44"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2017-M12","16.93"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2018-M01","17.99"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2018-M02","18.06"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2018-M03","18.26"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2018-M04","18.06"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2018-M05","18.08"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2018-M06","18.11"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2018-M07","18.64"
